day,hour,actual,AR(24) on diff,XGBoost(direct),Naive,Drift
2014-07-01,0,0.25,0.38502652293610073,0.28693801164627075,0.31,0.31000456725279746
2014-07-01,1,0.26,0.34931335827956866,0.310019850730896,0.31,0.31000913450559486
2014-07-01,2,0.24,0.3506940275482776,0.3038710057735443,0.31,0.3100137017583923
2014-07-01,3,0.25,0.3569921132232514,0.32631969451904297,0.31,0.3100182690111898
2014-07-01,4,0.27,0.4302267236243436,0.6957271099090576,0.31,0.3100228362639872
2014-07-01,5,0.24,0.5281644080093105,0.6076332926750183,0.31,0.31002740351678465
2014-07-01,6,1.02,0.5535237965932214,0.7174230217933655,0.31,0.3100319707695821
2014-07-01,7,1.98,0.5439533869252993,0.6156541705131531,0.31,0.3100365380223795
2014-07-01,8,0.7,0.5971012913385334,0.6123086214065552,0.31,0.310041105275177
2014-07-01,9,0.45,0.6776348843843956,0.6238235831260681,0.31,0.31004567252797444
2014-07-01,10,0.29,0.6147131600807707,0.7363989353179932,0.31,0.31005023978077184
2014-07-01,11,0.31,0.5903118347372164,0.5199331641197205,0.31,0.3100548070335693
2014-07-01,12,0.44,0.5417277368967766,0.48522162437438965,0.31,0.31005937428636676
2014-07-01,13,0.38,0.5903536014864568,0.35505419969558716,0.31,0.31006394153916417
2014-07-01,14,0.32,0.6412628841818258,0.305684894323349,0.31,0.31006850879196163
2014-07-01,15,0.35,0.7580084553348098,0.27203866839408875,0.31,0.3100730760447591
2014-07-01,16,0.75,0.7632705369756135,0.6180436015129089,0.31,0.3100776432975565
2014-07-01,17,0.67,0.7913160295823266,0.5961161851882935,0.31,0.31008221055035395
2014-07-01,18,0.5,0.8092626657979368,0.5706865191459656,0.31,0.3100867778031514
2014-07-01,19,0.55,0.8023538108859168,0.5888554453849792,0.31,0.3100913450559488
2014-07-01,20,0.8,0.7964695427244743,0.5846595168113708,0.31,0.3100959123087463
2014-07-01,21,0.58,0.6684785511948413,0.5916473269462585,0.31,0.31010047956154374
2014-07-01,22,0.29,0.5682968178175782,0.5529706478118896,0.31,0.31010504681434115
2014-07-01,23,0.28,0.5173066983311918,0.4823535680770874,0.31,0.3101096140671386
2014-07-02,0,0.25,0.32072256252620907,0.2689974904060364,0.28,0.2800011386927807
2014-07-02,1,0.25,0.3590417499280183,0.2820308804512024,0.28,0.2800022773855614
2014-07-02,2,0.28,0.40848651933738483,0.2948818504810333,0.28,0.2800034160783421
2014-07-02,3,0.28,0.4773215260102816,0.3361397683620453,0.28,0.2800045547711228
2014-07-02,4,0.29,0.497566075692623,0.7247871160507202,0.28,0.28000569346390347
2014-07-02,5,0.44,0.5919481778778242,0.7307912707328796,0.28,0.28000683215668415
2014-07-02,6,0.28,0.670121821524295,0.6156381368637085,0.28,0.2800079708494648
2014-07-02,7,0.62,0.6935673775489509,0.6400078535079956,0.28,0.2800091095422455
2014-07-02,8,0.28,0.6678607916649416,0.5565019845962524,0.28,0.28001024823502624
2014-07-02,9,0.32,0.5571373224164116,0.7231525182723999,0.28,0.2800113869278069
2014-07-02,10,0.29,0.4984561924104658,0.5700587034225464,0.28,0.2800125256205876
2014-07-02,11,0.86,0.45595664238654954,0.4078196883201599,0.28,0.28001366431336827
2014-07-02,12,0.7,0.44864915925831256,0.3648410141468048,0.28,0.28001480300614895
2014-07-02,13,1.37,0.4546929384616674,0.2818129360675812,0.28,0.2800159416989297
2014-07-02,14,1.36,0.4717766811169277,0.31674864888191223,0.28,0.28001708039171036
2014-07-02,15,0.8,0.49974795496579744,0.29154303669929504,0.28,0.28001821908449104
2014-07-02,16,0.46,0.534429053215863,0.6060515642166138,0.28,0.2800193577772717
2014-07-02,17,0.36,0.5577395469055154,0.6403900980949402,0.28,0.2800204964700524
2014-07-02,18,0.45,0.5538503064453963,0.5933965444564819,0.28,0.28002163516283307
2014-07-02,19,0.45,0.5431003364243936,0.7732775211334229,0.28,0.2800227738556138
2014-07-02,20,0.43,0.5253083834331764,0.6052808165550232,0.28,0.2800239125483945
2014-07-02,21,0.36,0.5023663592651122,0.6538423299789429,0.28,0.28002505124117516
2014-07-02,22,0.32,0.4637799402462831,0.6924790143966675,0.28,0.28002618993395584
2014-07-02,23,0.32,0.4323138075879347,0.5806211829185486,0.28,0.2800273286267365
2014-07-03,0,0.35,0.36113179509765553,0.29967227578163147,0.32,0.3200056779468544
2014-07-03,1,0.36,0.4033450554015494,0.31072720885276794,0.32,0.3200113558937088
2014-07-03,2,0.35,0.3809218979452343,0.33651602268218994,0.32,0.32001703384056324
2014-07-03,3,0.32,0.4152822815767273,0.3230271339416504,0.32,0.3200227117874177
2014-07-03,4,0.31,0.3981134087013401,0.7575721144676208,0.32,0.3200283897342721
2014-07-03,5,0.33,0.3944002140978907,0.6588895320892334,0.32,0.3200340676811265
2014-07-03,6,0.31,0.39649827387419145,0.6126515865325928,0.32,0.32003974562798093
2014-07-03,7,0.32,0.43623872245636464,0.7698559165000916,0.32,0.32004542357483534
2014-07-03,8,0.38,0.4693147786508168,0.8112664818763733,0.32,0.32005110152168975
2014-07-03,9,0.4,0.5235026828768916,0.6900895237922668,0.32,0.32005677946854416
2014-07-03,10,0.43,0.5769349012979677,0.5747421383857727,0.32,0.32006245741539857
2014-07-03,11,0.36,0.6284226506221058,0.4742206633090973,0.32,0.32006813536225304
2014-07-03,12,0.37,0.6976420923294143,0.35516926646232605,0.32,0.32007381330910745
2014-07-03,13,0.35,0.7175462879097421,0.3077234923839569,0.32,0.32007949125596186
2014-07-03,14,0.3,0.718750070181953,0.2312111109495163,0.32,0.32008516920281627
2014-07-03,15,0.32,0.6645990651553079,0.2288777232170105,0.32,0.3200908471496707
2014-07-03,16,0.34,0.5807282589905791,0.5852839350700378,0.32,0.3200965250965251
2014-07-03,17,0.31,0.5176657735684354,0.6092970371246338,0.32,0.3201022030433795
2014-07-03,18,0.33,0.4803183297071417,0.5625017285346985,0.32,0.32010788099023396
2014-07-03,19,0.37,0.4610801103200586,0.6718716025352478,0.32,0.32011355893708837
2014-07-03,20,0.4,0.4438173093266124,0.6208348274230957,0.32,0.3201192368839428
2014-07-03,21,0.34,0.43189111397687047,0.47745177149772644,0.32,0.3201249148307972
2014-07-03,22,0.33,0.42297124659288626,0.6066045761108398,0.32,0.3201305927776516
2014-07-03,23,0.3,0.42504967403357263,0.5957890152931213,0.32,0.320136270724506
2014-07-04,0,0.37,0.32083347684381464,0.27241817116737366,0.3,0.30000339750849375
2014-07-04,1,0.31,0.32966119893650303,0.27601712942123413,0.3,0.3000067950169875
2014-07-04,2,0.31,0.32948946183666605,0.2848758101463318,0.3,0.3000101925254813
2014-07-04,3,0.31,0.327978496988823,0.27573853731155396,0.3,0.3000135900339751
